# k[hMpc-1] 2.5perc 16perc 50perc 84perc 97.5perc
2.115942784526107096e-02 9.998112506824698986e-01 9.998310829000859323e-01 9.998529387675634261e-01 9.998712420115544175e-01 9.998834313522864115e-01
2.183064580727187357e-02 9.998309286685874708e-01 9.998561088307152955e-01 9.998811346562130886e-01 9.998998754010759438e-01 9.999137579440028345e-01
2.252315610080604658e-02 9.998522516747883060e-01 9.998820392816043512e-01 9.999106984081158611e-01 9.999297518601907298e-01 9.999475799141768206e-01
2.323763415978721478e-02 9.997992725155466776e-01 9.998335052506950316e-01 9.998667071420810348e-01 9.998916278888491105e-01 9.999087032244977635e-01
2.397477684420901839e-02 9.996997748723558397e-01 9.997347450213078801e-01 9.997745127043097257e-01 9.998086145797393520e-01 9.998287977549848993e-01
2.473530311981140054e-02 9.995948896296025232e-01 9.996376093466647905e-01 9.996834124254223575e-01 9.997303384869187237e-01 9.997504569158942589e-01
2.551995475931769647e-02 9.994882339065477295e-01 9.995355205949150168e-01 9.995910057617130029e-01 9.996495146961115186e-01 9.996734290544332380e-01
2.632949706591620337e-02 9.993928231359954228e-01 9.994463163759972346e-01 9.995106442751293674e-01 9.995755507041900190e-01 9.996063021586958364e-01
2.716471961969199947e-02 9.993069599041046747e-01 9.993671772116299312e-01 9.994385072138809445e-01 9.995118515888095079e-01 9.995445511146381357e-01
2.802643704773712802e-02 9.992210966722137044e-01 9.992883955852653877e-01 9.993672748570229247e-01 9.994483565627145794e-01 9.994822562611774819e-01
2.891548981868997253e-02 9.991352334403229563e-01 9.992100055646521151e-01 9.992955973678228077e-01 9.993843189753677247e-01 9.994199614077168281e-01
2.983274506247919622e-02 9.990603989099809956e-01 9.991394703845558611e-01 9.992322064452019426e-01 9.993282987784739557e-01 9.993700926639145221e-01
3.077909741607130073e-02 9.989975316188095533e-01 9.990801511004742119e-01 9.991778741863157620e-01 9.992795819871393981e-01 9.993294552749927284e-01
3.175546989604713377e-02 9.989364124017140467e-01 9.990208884157588676e-01 9.991235533988109818e-01 9.992307147432072378e-01 9.992887925132318827e-01
3.276281479885811976e-02 9.988725654223153949e-01 9.989592907469939664e-01 9.990697374578099144e-01 9.991813933939808212e-01 9.992510038161809272e-01
3.380211462964026470e-02 9.987395682480099124e-01 9.988295247746077354e-01 9.989472885542491909e-01 9.990663390127957344e-01 9.991481781569948595e-01
3.487438306049218950e-02 9.985120767772714956e-01 9.986090732593168040e-01 9.987322699548204508e-01 9.988550968627584181e-01 9.989517607580045144e-01
3.598066591915136808e-02 9.982817614373390436e-01 9.983809557392114842e-01 9.985165031285927473e-01 9.986452290180808378e-01 9.987553433590140584e-01
3.712204220903311813e-02 9.980504011703472678e-01 9.981568318592664024e-01 9.982990660967048235e-01 9.984364496005018186e-01 9.985589259600237133e-01
3.829962516162729869e-02 9.980461882967387455e-01 9.981497423329868113e-01 9.982888756001722097e-01 9.984219750419184303e-01 9.985385506611258455e-01
3.951456332227906015e-02 9.984505151315796745e-01 9.985356016959260339e-01 9.986485417731540970e-01 9.987564992111648277e-01 9.988379976110918212e-01
4.076804167041253590e-02 9.988548419664206035e-01 9.989212123246635766e-01 9.990080796755788084e-01 9.990875988084864101e-01 9.991457594886243854e-01
4.206128277529025405e-02 9.992597047291660317e-01 9.993057356236414446e-01 9.993685461204792064e-01 9.994205628578923806e-01 9.994528717865526213e-01
4.339554798843557604e-02 9.995248319943415005e-01 9.995572679446536046e-01 9.996043088503299145e-01 9.996360843475000646e-01 9.996569729588885567e-01
4.477213867388096097e-02 9.994583964570449286e-01 9.994921236614986437e-01 9.995401937498510359e-01 9.995792123938104234e-01 9.996026564097870715e-01
4.619239747744206120e-02 9.993913924473778465e-01 9.994269826314401417e-01 9.994760786493721572e-01 9.995206743314094533e-01 9.995483398606856973e-01
4.765770963625570733e-02 9.993237756545841899e-01 9.993618985414565170e-01 9.994136211584812024e-01 9.994649949124111421e-01 9.994913584249621730e-01
4.916950432985914970e-02 9.992644094450087167e-01 9.993055307241653917e-01 9.993588336569625419e-01 9.994165393374276896e-01 9.994433601080479068e-01
5.072925607412766963e-02 9.992319471096721140e-01 9.992780445269598966e-01 9.993330964820219542e-01 9.993961713103974853e-01 9.994253498714674722e-01
5.233848615943104132e-02 9.991994847743354002e-01 9.992503409755436605e-01 9.993091463094889715e-01 9.993764776450891896e-01 9.994073656646456083e-01
5.399876413441096618e-02 9.991676349449841732e-01 9.992208268051251396e-01 9.992859332400870764e-01 9.993567839797810048e-01 9.993894170618772277e-01
5.571170933682670356e-02 9.991224891557450860e-01 9.991796148539496825e-01 9.992510012131036179e-01 9.993279057962669576e-01 9.993622048024889404e-01
5.747899247296206493e-02 9.990139034629310633e-01 9.990810566363133027e-01 9.991652814108529235e-01 9.992552664782029526e-01 9.992948268459472816e-01
5.930233724713451782e-02 9.989053177701170405e-01 9.989825253971796881e-01 9.990795616086023401e-01 9.991826271601391696e-01 9.992269317876881773e-01
6.118352204289516372e-02 9.987967320773031288e-01 9.988840225785423632e-01 9.989938418063515346e-01 9.991099878420751645e-01 9.991590626309738710e-01
6.312438165755970831e-02 9.986887244976346834e-01 9.987860359218646567e-01 9.989083616928369214e-01 9.990374481835989640e-01 9.990913559985036274e-01
6.512680909176221666e-02 9.985852892108315615e-01 9.986921315865503468e-01 9.988252574362870284e-01 9.989656967321119962e-01 9.990249171708579512e-01
6.719275739577694473e-02 9.984818539240284396e-01 9.985982272512360369e-01 9.987421047227034165e-01 9.988939452806249175e-01 9.989584612410525866e-01
6.932424157440900125e-02 9.983784186372254288e-01 9.985043229159217271e-01 9.986589520091198047e-01 9.988221938291379498e-01 9.988928834593059358e-01
7.152334055231168719e-02 9.982754946277578867e-01 9.984108929968503743e-01 9.985761503949064366e-01 9.987506935967511712e-01 9.988276142361933729e-01
7.379219920164795110e-02 9.981820801456808834e-01 9.983262870055019667e-01 9.984998790703165650e-01 9.986838659261007001e-01 9.987667546952198050e-01
7.613303043407274040e-02 9.980886656636038801e-01 9.982419614108640760e-01 9.984224037028853749e-01 9.986170382554502289e-01 9.987058951542462371e-01
7.854811735907721304e-02 9.979962871080653164e-01 9.981578429950765941e-01 9.983443933652060842e-01 9.985502105847996468e-01 9.986450356132727801e-01
8.103981551079979251e-02 9.979039313930717636e-01 9.980737245792891121e-01 9.982672484950971814e-01 9.984833829141491757e-01 9.985841760722992122e-01
8.361055514547634238e-02 9.978133706438918615e-01 9.979894880646930089e-01 9.981894375187598811e-01 9.984146552670537522e-01 9.985222660541187567e-01
8.626284361176907167e-02 9.977228283974618472e-01 9.979041982404012190e-01 9.981116137693315515e-01 9.983459080347445447e-01 9.984603452074773955e-01
8.899926779628765383e-02 9.976322861510317219e-01 9.978184902660059974e-01 9.980337900199032219e-01 9.982771608024355592e-01 9.983984243608361453e-01
9.182249664668667988e-02 9.975417439046015966e-01 9.977336689236077083e-01 9.979559662704748924e-01 9.982084135701264627e-01 9.983365035141950061e-01
9.473528377480069929e-02 9.974274541352736723e-01 9.976208467880522957e-01 9.978507079293941207e-01 9.981122802562555352e-01 9.982492026933895701e-01
9.774047014235544284e-02 9.973113376627178450e-01 9.975057584796342969e-01 9.977425934984969214e-01 9.980140403545185723e-01 9.981599495981965386e-01
1.008409868318756453e-01 9.971952211901619068e-01 9.973915075961209409e-01 9.976347351980585643e-01 9.979158004527816095e-01 9.980706965030032851e-01
1.040398579054906542e-01 9.970791047176060795e-01 9.972764628290300415e-01 9.975269600545066950e-01 9.978175605510446466e-01 9.979788335817476597e-01
1.073402033544275935e-01 9.969313216415099932e-01 9.971127823520982147e-01 9.973659253521538481e-01 9.976487958331741179e-01 9.978164015455155411e-01
1.107452421420676431e-01 9.967786954802325683e-01 9.969445134735492875e-01 9.971960006044966462e-01 9.974738758224926949e-01 9.976433668034716540e-01
1.142582953435340304e-01 9.966162629773301918e-01 9.967767905456582644e-01 9.970213390649453888e-01 9.972978234017136900e-01 9.974703320614277668e-01
1.178827893848742175e-01 9.964565825670259613e-01 9.966051059897637066e-01 9.968484788226135151e-01 9.971109751300823998e-01 9.972972973193839907e-01
1.216222593849945188e-01 9.963792585981471328e-01 9.965029673266186938e-01 9.967400548163098950e-01 9.969843635784492175e-01 9.971784177931092286e-01
1.254803526036081529e-01 9.963131389593975484e-01 9.964298252571269776e-01 9.966493142246629633e-01 9.968726191396525271e-01 9.970725628596853740e-01
1.294608319985580402e-01 9.962336450086002326e-01 9.963514934223390851e-01 9.965590392459300340e-01 9.967716711292956555e-01 9.969667079262617415e-01
1.335675798959855554e-01 9.961626633358297012e-01 9.962773284264300200e-01 9.964612508066412744e-01 9.966611426725066059e-01 9.968608529928378870e-01
1.378046017769235521e-01 9.960461017198473099e-01 9.961586435244088600e-01 9.963315688067093667e-01 9.965210813495386510e-01 9.967326980330900588e-01
1.421760301840074570e-01 9.959046398126185640e-01 9.960210645460780832e-01 9.961864286465353935e-01 9.963764186608945472e-01 9.966014274220844626e-01
1.466861287521155077e-01 9.957590333108053970e-01 9.958782600378606187e-01 9.960467840986946264e-01 9.962334812530685424e-01 9.964684431039150247e-01
1.513392963668674374e-01 9.956149937823187690e-01 9.957329908453645961e-01 9.959019472354850855e-01 9.960924402160047375e-01 9.963354587857454758e-01
1.561400714550401359e-01 9.953884002283502896e-01 9.955221284440556317e-01 9.956890684980086448e-01 9.958827926514514095e-01 9.961412500459624342e-01
1.610931364110827491e-01 9.951378818152563088e-01 9.952758602065219229e-01 9.954466811909739032e-01 9.956463996963204055e-01 9.959187136986237254e-01
1.662033221640492053e-01 9.948911033449695518e-01 9.950248754478665525e-01 9.952002716061261189e-01 9.954102112775229383e-01 9.956961773512851277e-01
1.714756128894038001e-01 9.946375600697230368e-01 9.947720149054841698e-01 9.949555102366044457e-01 9.951724516372503215e-01 9.954734762755483857e-01
1.769151508702928588e-01 9.942894050252717442e-01 9.944413247560787150e-01 9.946329493093459817e-01 9.948586699114863041e-01 9.951796560020066407e-01
1.825272415130267945e-01 9.938928682486186661e-01 9.940589009695207645e-01 9.942580866504476811e-01 9.944988877112107550e-01 9.948426997849927345e-01
1.883173585216615931e-01 9.934963314719654770e-01 9.936753931714311650e-01 9.938837723053184359e-01 9.941391055109350949e-01 9.945057435679787172e-01
1.942911492367293824e-01 9.931010459864061390e-01 9.932930740619426713e-01 9.935106418992227795e-01 9.937793233106593238e-01 9.941687873509648110e-01
2.004544401433227541e-01 9.926264069982397853e-01 9.928304693250232793e-01 9.930623610434937687e-01 9.933473027997979932e-01 9.937649504946257650e-01
2.068132425539064012e-01 9.920929360315867696e-01 9.923035501978242356e-01 9.925549792574850372e-01 9.928586937674067636e-01 9.933088252927421147e-01
2.133737584713994717e-01 9.915594650649336428e-01 9.917760012998524388e-01 9.920481390108657482e-01 9.923700847350155341e-01 9.928527000908586864e-01
2.201423866382444250e-01 9.910259940982807381e-01 9.912522477904103235e-01 9.915426157137776642e-01 9.918814757026241935e-01 9.923965748889751470e-01
2.271257287773661149e-01 9.904203364598622716e-01 9.906545810305213973e-01 9.909688922488679719e-01 9.913265406856069939e-01 9.918797658873010903e-01
2.343305960311046210e-01 9.897386104043501831e-01 9.899797347330164810e-01 9.903186430336075041e-01 9.907052623177444728e-01 9.913022732485693433e-01
2.417640156044037480e-01 9.890476169675920248e-01 9.893046738165078846e-01 9.896694893441985164e-01 9.900838813373753489e-01 9.907247075096431432e-01
2.494332376187353983e-01 9.883566235308338666e-01 9.886323173025476363e-01 9.890204698590734367e-01 9.894630800386644554e-01 9.901470552582499751e-01
2.573457421834418057e-01 9.875923661164152101e-01 9.878875864812626251e-01 9.883002649231948933e-01 9.887848062359917423e-01 9.895121540141477157e-01
2.655092466913963056e-01 9.867346569034216586e-01 9.870482350222585799e-01 9.874941926104134904e-01 9.880255316676095356e-01 9.888040274968922239e-01
2.739317133460955067e-01 9.858769476904279960e-01 9.862088835632545347e-01 9.866881202976321985e-01 9.872623384763230536e-01 9.880959009796367321e-01
2.826213569275249915e-01 9.850112327223885522e-01 9.853695321042506006e-01 9.858820479848509066e-01 9.865013365264715395e-01 9.873877744623812402e-01
2.915866528043749573e-01 9.840654228640126622e-01 9.844637311609059083e-01 9.850109337674790577e-01 9.856755169268942574e-01 9.866240141049410495e-01
3.008363452004166327e-01 9.830221705416505307e-01 9.834486173829691813e-01 9.840301590646782781e-01 9.847583153927071953e-01 9.857685333098338276e-01
3.103794557231063789e-01 9.819712384812945283e-01 9.824340352343340355e-01 9.830575092552322758e-01 9.838402311733238648e-01 9.849130525147264947e-01
3.202252921627312676e-01 9.809038030737534664e-01 9.814183898270955053e-01 9.820844585036720975e-01 9.829199975296233349e-01 9.840575717196192729e-01
3.303834575706829924e-01 9.797782220208125503e-01 9.803484385048036875e-01 9.810594072322160741e-01 9.819511410853674072e-01 9.831565981589472925e-01
3.408638596257104747e-01 9.785726404141333878e-01 9.791557687760895634e-01 9.799245636719886576e-01 9.808765589434527143e-01 9.821573017524332094e-01
3.516767202972879702e-01 9.773675936621426530e-01 9.779531793631047742e-01 9.787934534919746632e-01 9.798005432845782181e-01 9.811580053459192374e-01
3.628325858155259653e-01 9.761625469101518071e-01 9.767522689882341957e-01 9.776623433119606688e-01 9.787245276257038329e-01 9.801587089394050434e-01
3.743423369573438131e-01 9.749140382456561449e-01 9.755122599857721788e-01 9.764902527654020226e-01 9.776094457237840540e-01 9.791227013230395793e-01
3.862171996589429668e-01 9.735106425268779118e-01 9.741436649829360306e-01 9.751963645593713093e-01 9.763770040155868024e-01 9.779794972252440211e-01
3.984687559649258692e-01 9.721033739500886117e-01 9.727772617811233369e-01 9.738900015372820018e-01 9.751222272226857113e-01 9.768362931274484628e-01
4.111089553247426198e-01 9.707028593314249720e-01 9.714217355060771331e-01 9.725820123556079277e-01 9.738935128095138616e-01 9.756930890296529046e-01
4.241501262474842160e-01 9.692662972459664683e-01 9.700143864310059039e-01 9.712459754494915387e-01 9.726419541753422715e-01 9.745241059731567512e-01
4.376049883263859464e-01 9.676969010518705616e-01 9.684903360468306577e-01 9.697921048382253106e-01 9.712726751677610570e-01 9.732479369869601049e-01
4.514866646447740495e-01 9.661171352152460035e-01 9.669715709854379559e-01 9.683345234281395264e-01 9.698962415313659990e-01 9.719717680007634586e-01
4.658086945755497976e-01 9.645346491603450367e-01 9.654395934562440829e-01 9.668905252907122883e-01 9.685164700378168234e-01 9.706955990145668123e-01
4.805850469867014585e-01 9.629336105488049968e-01 9.638995177650221402e-01 9.654304307425178866e-01 9.671235131283053565e-01 9.694048111803555967e-01
4.958301338657178925e-01 9.612112671104292572e-01 9.622477251955113831e-01 9.638628722379739555e-01 9.656364873456817488e-01 9.680184388473906942e-01
5.115588243761953757e-01 9.594889236720534065e-01 9.605808457552059698e-01 9.622781649595285591e-01 9.641510461650127928e-01 9.666320665144257918e-01
5.277864593603491805e-01 9.577665819365587252e-01 9.589291536174844310e-01 9.607161330184512682e-01 9.626656049843438367e-01 9.652456941814608893e-01
5.445288663015694919e-01 9.560387079221653872e-01 9.572736581521861243e-01 9.591494549126386993e-01 9.611747989386920654e-01 9.638540227408511907e-01
5.618023747616222030e-01 9.542223753280073550e-01 9.555388707543558402e-01 9.574958867794797213e-01 9.596119410703429775e-01 9.623934631884304425e-01
5.796238323075446619e-01 9.524060427338491008e-01 9.537963255344349411e-01 9.558423186463206322e-01 9.580470262488391953e-01 9.609335379767099949e-01
5.980106209437739961e-01 9.505897101396909576e-01 9.520421619229780807e-01 9.541887505131615432e-01 9.564821114273354130e-01 9.594739018191726920e-01
